Video_id,Segment_id,Pred,Pred_binary,Pred_7
0YiAKqU36KE,5,-0.06,negative,Neutral
0YiAKqU36KE,6,0.72,positive,slightly positive
0YiAKqU36KE,7,-0.15,negative,Neutral
0YiAKqU36KE,8,-0.52,negative,slightly negative
0bxhZ-LIfZY,0,-0.47,negative,slightly negative
0bxhZ-LIfZY,1,-0.33,negative,Neutral
0eTibWQdO5M,0,-0.54,negative,slightly negative
0uftSGdwo0Q,0,1.22,positive,slightly positive
0uftSGdwo0Q,1,0.23,positive,Neutral
0uftSGdwo0Q,2,0.5,positive,slightly positive
0uftSGdwo0Q,3,0.15,positive,Neutral
100178,0,-1.46,negative,negative
100178,1,-0.16,negative,Neutral
100178,2,0.94,positive,slightly positive
100178,3,-1.09,negative,slightly negative
100178,4,-0.05,negative,Neutral
100178,5,-0.08,negative,Neutral
100178,6,-1.61,negative,negative
100178,7,1.1,positive,slightly positive
100178,8,0.47,positive,slightly positive
100178,9,1.11,positive,slightly positive
100178,10,-0.14,negative,Neutral
100178,11,0.05,positive,Neutral
100178,12,0.78,positive,slightly positive
100178,13,-0.11,negative,Neutral
100178,14,-0.78,negative,slightly negative
100178,15,-1.81,negative,negative
100178,16,-1.59,negative,negative
100178,17,-1.45,negative,negative
10219,0,0.78,positive,slightly positive
10219,1,2.22,positive,very positive
10219,2,1.47,positive,positive
10219,3,-0.07,negative,Neutral
10219,4,-0.26,negative,Neutral
10219,5,0.2,positive,Neutral
10219,6,0.42,positive,Neutral
10219,7,1.96,positive,positive
10219,8,0.92,positive,slightly positive
10219,9,1.0,positive,slightly positive
10219,10,1.51,positive,positive
10219,11,0.3,positive,Neutral
10219,12,1.16,positive,slightly positive
10219,13,-0.32,negative,Neutral
102213,0,-2.05,negative,negative
102213,1,-0.85,negative,slightly negative
102213,2,-0.25,negative,Neutral
102213,3,-2.09,negative,negative
102213,4,-0.31,negative,Neutral
102213,5,-0.01,negative,Neutral
102213,6,-0.6,negative,slightly negative
102213,7,0.95,positive,slightly positive
102213,8,-0.71,negative,slightly negative
102213,9,-1.18,negative,slightly negative
102213,10,-1.03,negative,slightly negative
102213,11,-1.17,negative,slightly negative
102213,12,-0.61,negative,slightly negative
102213,13,-0.92,negative,slightly negative
102389,0,-0.19,negative,Neutral
102389,1,-0.22,negative,Neutral
102389,2,0.21,positive,Neutral
102389,3,-2.08,negative,negative
102389,4,-0.09,negative,Neutral
102389,5,-2.24,negative,very negative
102389,6,0.46,positive,slightly positive
102389,7,-0.41,negative,Neutral
102389,8,-0.14,negative,Neutral
102389,9,-1.33,negative,negative
102389,10,0.06,positive,Neutral
102389,11,-0.49,negative,slightly negative
102389,12,-1.18,negative,slightly negative
102389,13,-0.29,negative,Neutral
102389,14,-1.48,negative,negative
104741,0,0.14,positive,Neutral
104741,1,0.26,positive,Neutral
104741,2,-1.5,negative,negative
104741,3,-2.13,negative,negative
104741,4,0.13,positive,Neutral
104741,5,-0.93,negative,slightly negative
104741,6,-1.38,negative,negative
104741,7,-0.22,negative,Neutral
104741,8,-0.1,negative,Neutral
104741,9,-1.64,negative,negative
107585,0,-0.53,negative,slightly negative
107585,1,-0.4,negative,Neutral
107585,2,-2.03,negative,negative
107585,3,-2.07,negative,negative
107585,4,-1.14,negative,slightly negative
107585,5,-2.36,negative,very negative
107585,6,-1.05,negative,slightly negative
107585,7,-1.66,negative,negative
107585,8,-1.94,negative,negative
107585,9,-1.92,negative,negative
107585,10,1.32,positive,positive
107585,11,0.18,positive,Neutral
107585,12,-2.54,negative,very negative
107585,13,-2.15,negative,very negative
107585,14,-2.41,negative,very negative
107585,15,-1.64,negative,negative
107585,16,-1.26,negative,slightly negative
107585,17,-1.44,negative,negative
107585,18,-1.79,negative,negative
107585,19,-1.14,negative,slightly negative
108146,0,-1.44,negative,negative
108146,1,-1.65,negative,negative
108146,2,0.15,positive,Neutral
108146,3,0.26,positive,Neutral
108146,4,-1.94,negative,negative
108146,5,0.35,positive,Neutral
108146,6,1.43,positive,positive
108146,7,-2.04,negative,negative
108146,8,-1.77,negative,negative
108146,9,-0.4,negative,Neutral
108146,10,-1.85,negative,negative
108146,11,-1.25,negative,slightly negative
110565,0,0.78,positive,slightly positive
110565,1,-1.2,negative,slightly negative
110565,2,-1.65,negative,negative
110565,3,-1.05,negative,slightly negative
110565,4,2.1,positive,positive
110565,5,2.52,positive,very positive
110565,6,-1.73,negative,negative
110565,7,-2.97,negative,very negative
110565,8,-2.01,negative,negative
111881,0,-1.46,negative,negative
111881,1,-0.72,negative,slightly negative
111881,2,-1.33,negative,negative
111881,3,-2.43,negative,very negative
111881,4,-1.54,negative,negative
111881,5,0.16,positive,Neutral
111881,6,-0.48,negative,slightly negative
111881,7,-1.4,negative,negative
111881,8,1.01,positive,slightly positive
111881,9,0.41,positive,Neutral
111881,10,-2.5,negative,very negative
111881,11,-2.22,negative,very negative
111881,12,-0.03,negative,Neutral
111881,13,0.07,positive,Neutral
111881,14,-1.38,negative,negative
111881,15,-0.35,negative,Neutral
111881,16,-0.96,negative,slightly negative
111881,17,0.02,positive,Neutral
112425,0,2.82,positive,very positive
112425,1,-0.4,negative,Neutral
112425,2,0.08,positive,Neutral
112425,3,0.01,positive,Neutral
112425,4,-0.14,negative,Neutral
112425,5,0.15,positive,Neutral
112425,6,1.77,positive,positive
112425,7,-2.31,negative,very negative
112425,8,0.65,positive,slightly positive
112425,9,2.58,positive,very positive
112425,10,1.11,positive,slightly positive
112425,11,2.68,positive,very positive
112425,12,2.51,positive,very positive
112509,0,-1.33,negative,negative
112509,1,-0.16,negative,Neutral
112509,2,-0.91,negative,slightly negative
112509,3,-0.15,negative,Neutral
112509,4,1.56,positive,positive
112509,5,-0.2,negative,Neutral
116213,0,1.25,positive,slightly positive
116213,1,1.15,positive,slightly positive
116213,2,2.45,positive,very positive
116213,3,1.11,positive,slightly positive
116213,4,0.02,positive,Neutral
116213,5,-0.14,negative,Neutral
116213,6,0.55,positive,slightly positive
116213,7,0.46,positive,slightly positive
116213,8,-0.19,negative,Neutral
116213,9,0.09,positive,Neutral
116213,10,-0.21,negative,Neutral
116213,11,1.58,positive,positive
116213,12,0.73,positive,slightly positive
11UtTaDYgII,0,1.53,positive,positive
11UtTaDYgII,1,2.13,positive,positive
11UtTaDYgII,2,1.24,positive,slightly positive
11UtTaDYgII,3,1.47,positive,positive
11UtTaDYgII,4,0.74,positive,slightly positive
11UtTaDYgII,5,0.72,positive,slightly positive
11UtTaDYgII,6,2.06,positive,positive
121400,0,-0.34,negative,Neutral
121400,1,-0.39,negative,Neutral
121400,2,-2.11,negative,negative
121400,3,0.24,positive,Neutral
121400,4,-0.54,negative,slightly negative
121400,5,-1.74,negative,negative
121400,6,0.5,positive,slightly positive
121400,7,1.8,positive,positive
121400,8,-0.15,negative,Neutral
121400,9,0.04,positive,Neutral
121400,10,-0.83,negative,slightly negative
121400,11,0.72,positive,slightly positive
126872,0,-2.14,negative,negative
126872,1,-1.77,negative,negative
126872,2,-0.19,negative,Neutral
126872,3,-0.55,negative,slightly negative
126872,4,-2.38,negative,very negative
126872,5,-1.66,negative,negative
126872,6,-0.69,negative,slightly negative
126872,7,-0.81,negative,slightly negative
126872,8,-2.26,negative,very negative
126872,9,-1.28,negative,slightly negative
126872,10,-2.15,negative,very negative
126872,11,-0.91,negative,slightly negative
126872,12,-1.0,negative,slightly negative
126872,13,-2.17,negative,very negative
126872,14,-1.79,negative,negative
130366,0,-1.81,negative,negative
130366,1,-0.23,negative,Neutral
130366,2,0.05,positive,Neutral
130366,3,-0.08,negative,Neutral
130366,4,0.04,positive,Neutral
130366,5,0.26,positive,Neutral
130366,6,0.59,positive,slightly positive
130366,7,-0.72,negative,slightly negative
130366,8,-2.31,negative,very negative
130366,9,-1.47,negative,negative
130366,10,-0.35,negative,Neutral
130366,11,-0.78,negative,slightly negative
132028,0,0.36,positive,Neutral
132028,1,0.52,positive,slightly positive
132028,2,-1.81,negative,negative
132028,3,-1.98,negative,negative
132028,4,1.09,positive,slightly positive
132028,5,2.51,positive,very positive
132028,6,-0.86,negative,slightly negative
132028,7,0.58,positive,slightly positive
135623,0,-1.21,negative,slightly negative
135623,1,-0.23,negative,Neutral
135623,2,-2.08,negative,negative
135623,3,-1.08,negative,slightly negative
135623,4,-1.18,negative,slightly negative
135623,5,-1.72,negative,negative
135623,6,-1.83,negative,negative
135623,7,-2.27,negative,very negative
135623,8,-1.31,negative,negative
135623,9,-2.36,negative,very negative
136196,0,-1.51,negative,negative
136196,1,-1.21,negative,slightly negative
136196,2,-1.97,negative,negative
136196,3,-1.94,negative,negative
136196,4,-1.51,negative,negative
136196,5,-0.61,negative,slightly negative
136196,6,0.11,positive,Neutral
136196,7,0.13,positive,Neutral
136196,8,-0.46,negative,slightly negative
136196,9,1.57,positive,positive
136196,10,-2.04,negative,negative
136196,11,-0.68,negative,slightly negative
136196,12,-1.67,negative,negative
136196,13,-1.64,negative,negative
136196,14,-1.68,negative,negative
167521,0,-0.88,negative,slightly negative
167521,1,-0.12,negative,Neutral
167521,2,2.82,positive,very positive
167521,3,1.14,positive,slightly positive
167521,4,2.82,positive,very positive
167521,5,1.63,positive,positive
167521,6,1.11,positive,slightly positive
167521,7,2.05,positive,positive
167521,8,2.57,positive,very positive
167521,9,0.46,positive,slightly positive
167521,10,-1.25,negative,slightly negative
167521,11,0.54,positive,slightly positive
167521,12,-0.56,negative,slightly negative
167521,13,0.66,positive,slightly positive
167521,14,0.93,positive,slightly positive
167521,15,2.34,positive,very positive
167521,16,1.45,positive,positive
167521,17,0.41,positive,Neutral
173CpFb3clw,0,0.32,positive,Neutral
173CpFb3clw,1,0.21,positive,Neutral
173CpFb3clw,2,0.12,positive,Neutral
180971,0,0.52,positive,slightly positive
180971,1,0.01,positive,Neutral
180971,2,-0.12,negative,Neutral
180971,3,-0.15,negative,Neutral
180971,4,-1.8,negative,negative
180971,5,-0.19,negative,Neutral
180971,6,-0.08,negative,Neutral
190743,0,-1.15,negative,slightly negative
190743,1,-1.22,negative,slightly negative
190743,2,-1.49,negative,negative
190743,3,-0.32,negative,Neutral
190743,4,-2.79,negative,very negative
190743,5,-2.74,negative,very negative
190743,6,-2.02,negative,negative
190743,7,-3.03,negative,very negative
190743,8,-2.71,negative,very negative
190743,9,-0.12,negative,Neutral
190743,10,0.26,positive,Neutral
190743,11,-0.31,negative,Neutral
190743,12,-0.06,negative,Neutral
190743,13,-2.24,negative,very negative
190743,14,-0.49,negative,slightly negative
190743,15,-1.32,negative,negative
190743,16,-1.75,negative,negative
190743,17,-0.16,negative,Neutral
190743,18,-0.62,negative,slightly negative
194299,0,0.28,positive,Neutral
194299,1,-0.53,negative,slightly negative
194299,2,-0.13,negative,Neutral
194299,3,0.77,positive,slightly positive
194299,4,-1.14,negative,slightly negative
194299,5,0.02,positive,Neutral
194299,6,0.32,positive,Neutral
194299,7,0.07,positive,Neutral
194299,8,0.09,positive,Neutral
194299,9,0.05,positive,Neutral
194299,10,-0.01,negative,Neutral
194299,11,-1.34,negative,negative
194299,12,-1.65,negative,negative
194299,13,-1.14,negative,slightly negative
194299,14,-1.92,negative,negative
194299,15,0.17,positive,Neutral
194299,16,0.08,positive,Neutral
198112,0,-0.06,negative,Neutral
198112,1,0.74,positive,slightly positive
198112,2,2.63,positive,very positive
198112,3,0.14,positive,Neutral
198112,4,0.37,positive,Neutral
198112,5,-0.9,negative,slightly negative
198112,6,-1.07,negative,slightly negative
198112,7,1.86,positive,positive
198112,8,-0.68,negative,slightly negative
198112,9,-0.01,negative,Neutral
198112,10,-0.43,negative,slightly negative
198112,11,0.13,positive,Neutral
198112,12,1.33,positive,positive
1Gp4l-ZTCVk,0,0.74,positive,slightly positive
1Gp4l-ZTCVk,1,0.95,positive,slightly positive
1HS2HcN2LDo,0,0.68,positive,slightly positive
1HS2HcN2LDo,1,-1.46,negative,negative
1HS2HcN2LDo,2,-0.58,negative,slightly negative
1HS2HcN2LDo,3,0.42,positive,Neutral
1HS2HcN2LDo,4,0.42,positive,Neutral
1HS2HcN2LDo,5,0.23,positive,Neutral
1HS2HcN2LDo,6,-0.06,negative,Neutral
1HS2HcN2LDo,7,1.12,positive,slightly positive
1HS2HcN2LDo,8,1.44,positive,positive
1LkYxsqRPZM,0,2.51,positive,very positive
1LkYxsqRPZM,1,1.65,positive,positive
1LkYxsqRPZM,2,1.04,positive,slightly positive
1S6ji_d4OLI,0,1.38,positive,positive
1S6ji_d4OLI,1,0.6,positive,slightly positive
1jogeKX0wGw,0,1.24,positive,slightly positive
1jogeKX0wGw,1,0.97,positive,slightly positive
1jogeKX0wGw,2,1.0,positive,slightly positive
1pl2FVdQWj0,0,0.53,positive,slightly positive
1pl2FVdQWj0,1,0.06,positive,Neutral
1pl2FVdQWj0,2,-0.4,negative,Neutral
200941,0,-1.34,negative,negative
200941,1,-1.86,negative,negative
200941,2,-1.03,negative,slightly negative
200941,3,0.6,positive,slightly positive
200941,4,-0.68,negative,slightly negative
200941,5,-1.74,negative,negative
200941,6,-0.85,negative,slightly negative
200941,7,0.06,positive,Neutral
200941,8,-0.74,negative,slightly negative
200941,9,0.26,positive,Neutral
200941,10,-1.97,negative,negative
200941,11,-1.83,negative,negative
200941,12,-0.56,negative,slightly negative
200941,13,1.67,positive,positive
200941,14,0.22,positive,Neutral
200941,15,-2.35,negative,very negative
201005,0,1.42,positive,positive
201005,1,0.26,positive,Neutral
201005,2,0.08,positive,Neutral
201005,3,-0.88,negative,slightly negative
201005,4,0.14,positive,Neutral
201005,5,0.09,positive,Neutral
201005,6,-0.88,negative,slightly negative
201005,7,-0.02,negative,Neutral
201005,8,-0.43,negative,slightly negative
201005,9,-0.51,negative,slightly negative
201005,10,-0.49,negative,slightly negative
202826,0,-0.23,negative,Neutral
202826,1,-0.97,negative,slightly negative
202826,2,-1.87,negative,negative
202826,3,-1.82,negative,negative
202826,4,-0.16,negative,Neutral
202826,5,-0.02,negative,Neutral
202826,6,0.24,positive,Neutral
202826,7,-0.33,negative,Neutral
202826,8,-1.85,negative,negative
202826,9,-2.26,negative,very negative
202826,10,0.29,positive,Neutral
202826,11,1.67,positive,positive
202826,12,-1.45,negative,negative
202826,13,-2.36,negative,very negative
202826,14,-0.31,negative,Neutral
206585,0,-1.59,negative,negative
206585,1,0.04,positive,Neutral
206585,2,-0.28,negative,Neutral
206585,3,-0.3,negative,Neutral
206585,4,-1.83,negative,negative
206585,5,2.34,positive,very positive
208322,0,-0.03,negative,Neutral
208322,1,-0.4,negative,Neutral
208322,2,0.41,positive,Neutral
208322,3,0.05,positive,Neutral
208322,4,0.13,positive,Neutral
208322,5,0.25,positive,Neutral
208322,6,-1.92,negative,negative
208322,7,-2.38,negative,very negative
208322,8,-0.45,negative,slightly negative
208322,9,-0.99,negative,slightly negative
208322,10,-0.81,negative,slightly negative
208322,11,-1.27,negative,slightly negative
208322,12,-2.44,negative,very negative
208322,13,-1.82,negative,negative
208592,0,-1.39,negative,negative
208592,1,-0.46,negative,slightly negative
208592,2,0.26,positive,Neutral
208592,3,-1.81,negative,negative
208592,4,0.01,positive,Neutral
208592,5,-0.01,negative,Neutral
208592,6,-2.51,negative,very negative
208592,7,-0.27,negative,Neutral
208592,8,0.45,positive,slightly positive
208592,9,-1.74,negative,negative
208592,10,-1.43,negative,negative
209758,0,-0.05,negative,Neutral
209758,1,0.31,positive,Neutral
209758,2,0.64,positive,slightly positive
209758,3,2.12,positive,positive
209758,4,2.78,positive,very positive
209758,5,2.21,positive,very positive
209758,6,-0.18,negative,Neutral
209758,7,0.45,positive,slightly positive
209758,8,-0.12,negative,Neutral
209758,9,-0.04,negative,Neutral
209758,10,0.05,positive,Neutral
209758,11,-0.63,negative,slightly negative
209758,12,0.27,positive,Neutral
209758,13,2.4,positive,very positive
209758,14,1.08,positive,slightly positive
209758,15,0.48,positive,slightly positive
20LfN8ENbhM,0,1.52,positive,positive
20LfN8ENbhM,1,1.85,positive,positive
20LfN8ENbhM,2,0.28,positive,Neutral
20LfN8ENbhM,3,0.67,positive,slightly positive
20LfN8ENbhM,4,0.23,positive,Neutral
20LfN8ENbhM,5,1.17,positive,slightly positive
210259,0,-2.31,negative,very negative
210259,1,-1.78,negative,negative
210259,2,-2.61,negative,very negative
210259,3,-0.97,negative,slightly negative
210259,4,-2.6,negative,very negative
210259,5,-0.73,negative,slightly negative
210259,6,-1.85,negative,negative
210259,7,-2.22,negative,very negative
210259,8,1.68,positive,positive
210259,9,0.29,positive,Neutral
210259,10,-0.04,negative,Neutral
210259,11,-1.72,negative,negative
210259,12,-0.13,negative,Neutral
210259,13,0.17,positive,Neutral
210259,14,-2.29,negative,very negative
210259,15,-2.04,negative,negative
210259,16,-1.42,negative,negative
210259,17,-1.41,negative,negative
210433,0,0.26,positive,Neutral
210433,1,0.16,positive,Neutral
210433,2,1.51,positive,positive
210433,3,0.49,positive,slightly positive
210433,4,-0.96,negative,slightly negative
210433,5,-0.06,negative,Neutral
210433,6,-1.5,negative,negative
210433,7,-1.39,negative,negative
210433,8,-1.53,negative,negative
211875,0,-0.85,negative,slightly negative
211875,1,-2.0,negative,negative
211875,2,-0.19,negative,Neutral
211875,3,0.79,positive,slightly positive
211875,4,-0.11,negative,Neutral
211875,5,-0.05,negative,Neutral
211875,6,-1.75,negative,negative
211875,7,0.98,positive,slightly positive
211875,8,-2.09,negative,negative
211875,9,-2.77,negative,very negative
211875,10,-1.09,negative,slightly negative
211875,11,-1.18,negative,slightly negative
213327,0,-2.06,negative,negative
213327,1,1.52,positive,positive
213327,2,0.09,positive,Neutral
213327,3,-0.4,negative,Neutral
213327,4,-1.49,negative,negative
213327,5,0.12,positive,Neutral
213327,6,-0.52,negative,slightly negative
213327,7,-0.98,negative,slightly negative
213327,8,-2.56,negative,very negative
213327,9,-2.29,negative,very negative
213327,10,-1.91,negative,negative
215318,0,1.18,positive,slightly positive
215318,1,0.27,positive,Neutral
215318,2,0.02,positive,Neutral
215318,3,-1.04,negative,slightly negative
215318,4,-2.17,negative,very negative
215318,5,0.26,positive,Neutral
215318,6,0.16,positive,Neutral
215318,7,-0.08,negative,Neutral
215318,8,-2.06,negative,negative
215318,9,0.02,positive,Neutral
215318,10,-0.17,negative,Neutral
215318,11,-2.65,negative,very negative
215318,12,-0.22,negative,Neutral
215318,13,0.01,positive,Neutral
215318,14,0.15,positive,Neutral
215318,15,-2.8,negative,very negative
221137,0,0.61,positive,slightly positive
221137,1,0.26,positive,Neutral
221137,2,-1.85,negative,negative
221137,3,-0.44,negative,slightly negative
221137,4,-2.12,negative,negative
221137,5,-0.45,negative,slightly negative
221137,6,-2.21,negative,very negative
221137,7,-1.0,negative,slightly negative
221137,8,-2.81,negative,very negative
221153,0,0.11,positive,Neutral
221153,1,0.65,positive,slightly positive
221153,2,-0.73,negative,slightly negative
221153,3,-1.4,negative,negative
221153,4,-0.04,negative,Neutral
221153,5,-1.32,negative,negative
221153,6,-0.38,negative,Neutral
221153,7,-0.02,negative,Neutral
221153,8,0.11,positive,Neutral
221153,9,0.05,positive,Neutral
221153,10,0.14,positive,Neutral
221153,11,-0.21,negative,Neutral
221153,12,0.04,positive,Neutral
221153,13,-0.11,negative,Neutral
221153,14,-0.16,negative,Neutral
221153,15,0.17,positive,Neutral
221153,16,-1.04,negative,slightly negative
221153,17,0.06,positive,Neutral
221153,18,-0.16,negative,Neutral
221274,0,-2.13,negative,negative
221274,1,0.17,positive,Neutral
221274,2,-0.03,negative,Neutral
221274,3,-0.61,negative,slightly negative
221274,4,-1.39,negative,negative
221274,5,-0.77,negative,slightly negative
221274,6,-0.92,negative,slightly negative
221274,7,-1.88,negative,negative
221274,8,-1.34,negative,negative
221274,9,-1.98,negative,negative
222247,0,-2.15,negative,very negative
222247,1,-1.78,negative,negative
222247,2,-2.28,negative,very negative
222247,3,0.26,positive,Neutral
222247,4,-1.68,negative,negative
222247,5,0.2,positive,Neutral
222247,6,0.31,positive,Neutral
222247,7,-1.21,negative,slightly negative
222247,8,-0.31,negative,Neutral
222247,9,-0.24,negative,Neutral
222247,10,0.26,positive,Neutral
222247,11,-1.82,negative,negative
222247,12,-0.96,negative,slightly negative
222247,13,-1.08,negative,slightly negative
222247,14,-1.02,negative,slightly negative
22373,0,-1.92,negative,negative
22373,1,-0.14,negative,Neutral
22373,2,-0.39,negative,Neutral
22373,3,0.05,positive,Neutral
22373,4,-0.48,negative,slightly negative
22373,5,-1.99,negative,negative
22373,6,-0.12,negative,Neutral
22373,7,-0.96,negative,slightly negative
22373,8,-1.32,negative,negative
22373,9,-1.27,negative,slightly negative
22373,10,-1.77,negative,negative
224263,0,-2.32,negative,very negative
224263,1,-2.36,negative,very negative
224263,2,2.08,positive,positive
224263,3,0.33,positive,Neutral
224263,4,-1.6,negative,negative
224263,5,-1.82,negative,negative
224263,6,-2.56,negative,very negative
224263,7,-2.33,negative,very negative
224263,8,-0.05,negative,Neutral
224263,9,1.42,positive,positive
224263,10,-1.42,negative,negative
224263,11,-1.34,negative,negative
224263,12,-1.58,negative,negative
224263,13,-2.27,negative,very negative
224263,14,-2.61,negative,very negative
224263,15,-2.25,negative,very negative
224263,16,-0.62,negative,slightly negative
224263,17,-1.79,negative,negative
224370,0,-0.81,negative,slightly negative
224370,1,-0.62,negative,slightly negative
224370,2,2.42,positive,very positive
224370,3,-0.24,negative,Neutral
224370,4,-0.0,negative,Neutral
224370,5,-2.98,negative,very negative
224370,6,-2.12,negative,negative
224370,7,0.47,positive,slightly positive
224370,8,-1.44,negative,negative
224370,9,-0.24,negative,Neutral
224370,10,-0.8,negative,slightly negative
224370,11,1.5,positive,positive
224370,12,-0.89,negative,slightly negative
224370,13,-0.18,negative,Neutral
224370,14,0.12,positive,Neutral
224370,15,-1.24,negative,slightly negative
224370,16,-0.37,negative,Neutral
224370,17,-1.77,negative,negative
224370,18,-0.83,negative,slightly negative
224370,19,-2.44,negative,very negative
224370,20,-1.91,negative,negative
224370,21,-0.15,negative,Neutral
224370,22,-1.21,negative,slightly negative
224631,0,2.61,positive,very positive
224631,1,2.42,positive,very positive
224631,2,-0.06,negative,Neutral
224631,3,0.15,positive,Neutral
224631,4,1.08,positive,slightly positive
224631,5,-0.07,negative,Neutral
224631,6,-0.24,negative,Neutral
224631,7,1.85,positive,positive
224631,8,-1.32,negative,negative
224631,9,-0.08,negative,Neutral
224631,10,-1.91,negative,negative
224631,11,0.31,positive,Neutral
226601,0,-1.96,negative,negative
226601,1,-1.15,negative,slightly negative
226601,2,-1.61,negative,negative
226601,3,-1.18,negative,slightly negative
226601,4,0.64,positive,slightly positive
226601,5,0.13,positive,Neutral
226601,6,-0.42,negative,Neutral
226601,7,-1.23,negative,slightly negative
226601,8,-1.99,negative,negative
226601,9,-0.11,negative,Neutral
226601,10,0.14,positive,Neutral
226601,11,-0.08,negative,Neutral
226601,12,-0.96,negative,slightly negative
226601,13,0.21,positive,Neutral
226601,14,0.14,positive,Neutral
226601,15,-0.97,negative,slightly negative
226601,16,0.42,positive,Neutral
226601,17,2.07,positive,positive
226601,18,-1.38,negative,negative
226640,0,-0.35,negative,Neutral
226640,1,0.27,positive,Neutral
226640,2,-0.03,negative,Neutral
226640,3,0.43,positive,slightly positive
226640,4,-1.32,negative,negative
226640,5,-1.56,negative,negative
226640,6,1.13,positive,slightly positive
226640,7,-1.4,negative,negative
226640,8,-0.66,negative,slightly negative
226640,9,-0.49,negative,slightly negative
22689,0,-1.95,negative,negative
22689,1,-2.19,negative,very negative
22689,2,-1.5,negative,negative
22689,3,1.14,positive,slightly positive
22689,4,-1.78,negative,negative
22689,5,-0.12,negative,Neutral
22689,6,-2.02,negative,negative
22689,7,-0.46,negative,slightly negative
22689,8,0.13,positive,Neutral
22689,9,-1.36,negative,negative
22689,10,-2.01,negative,negative
22689,11,0.04,positive,Neutral
233939,0,-0.81,negative,slightly negative
233939,1,-2.43,negative,very negative
233939,2,-2.04,negative,negative
