Index,Video_id,Clip_id,Text,Label,Label_binary,Label_7,Pred,Pred_binary,Pred_7
26,c7UH_rxdZv4,26,and yeah i think the only character who actually showed their motivation bihind anything they did was the villain,-1.8,negative,negative,0.04,positive,Neutral
27,c7UH_rxdZv4,27,he was the only character that was slightly interesting,-0.8,negative,slightly negative,0.63,positive,slightly positive
28,c7UH_rxdZv4,28,who seemed to have genuine affection for other human beings,0.6,positive,slightly positive,0.99,positive,slightly positive
29,c7UH_rxdZv4,29,and it was kind of interesting,1.2,positive,slightly positive,1.14,positive,slightly positive
30,c7UH_rxdZv4,30,i mean the only character that shows genuine care for other people be the villain,-1.4,negative,negative,-0.4,negative,Neutral
31,c7UH_rxdZv4,31,hmm yeah skip it,-2.2,negative,very negative,-0.91,negative,slightly negative
32,c7UH_rxdZv4,32,dont see it,-1.8,negative,negative,-1.47,negative,negative
33,cM3Yna7AavY,0,i just got back from the movie theaters to go see a movie ive been waiting probably about a year and a half to two years for,2.2,positive,very positive,-0.57,negative,slightly negative
34,cM3Yna7AavY,1,if you are as big a fan of disney as i am,2.5,positive,very positive,0.5,positive,slightly positive
35,cM3Yna7AavY,2,you know of course i was waithing for the princess and the frog,1.0,positive,slightly positive,-0.21,negative,Neutral
36,cM3Yna7AavY,3,i had some high exp o maybe not high expectations per se but i was definately expecting this to be a good movie,0.6,positive,slightly positive,-0.07,negative,Neutral
37,cM3Yna7AavY,4,and oh oh my gosh i was blown away,2.8,positive,very positive,-1.24,negative,slightly negative
38,cM3Yna7AavY,5,anyway oh you can see im still speechless this movie was just beautiful,2.8,positive,very positive,2.41,positive,very positive
39,cM3Yna7AavY,6,it was incredible see all the different color palettes smooth hand drawn animation you know,3.0,positive,very positive,2.41,positive,very positive
40,cM3Yna7AavY,7,they arent doing so well brother bear,-0.6,negative,slightly negative,-1.2,negative,slightly negative
41,cM3Yna7AavY,8,so um i guess people just want to see um computer animated films from now on,-0.2,negative,Neutral,1.1,positive,slightly positive
42,cM3Yna7AavY,9,i personally i liked atlantis,1.6,positive,positive,1.32,positive,positive
43,cM3Yna7AavY,10,i liked lilo and stich,2.0,positive,positive,1.51,positive,positive
44,cM3Yna7AavY,11,i didnt really i mean trasure planet was ok,-1.0,negative,slightly negative,-0.5,negative,slightly negative
45,cM3Yna7AavY,12,i didnt really like ba brother bear,-1.6,negative,negative,-1.69,negative,negative
46,cM3Yna7AavY,13,and i hated home on the range,-2.6,negative,very negative,-1.55,negative,negative
47,cM3Yna7AavY,14,it was oh i couldnt even watch it,-2.4,negative,very negative,-1.91,negative,negative
48,cM3Yna7AavY,15,oh god why did i watch that movie,-2.8,negative,very negative,-1.39,negative,negative
49,cW1FSBF59ik,0,probably widely considered to be one of the failed one of the most failed movies of the xmen franchise aright,-2.6,negative,very negative,-0.74,negative,slightly negative
50,cW1FSBF59ik,1,aright first of all id like to say little wolver james or jimmy hes so cute hes so xxx anyways,3.0,positive,very positive,0.62,positive,slightly positive
51,cW1FSBF59ik,2,im pretty sure the first time it happend you would be kinda freaked out the whole time you know,-1.0,negative,slightly negative,-0.84,negative,slightly negative
52,cW1FSBF59ik,3,sigh i love when they show all the the war scenes all the the time they spent in the military and shit,1.6,positive,positive,2.24,positive,very positive
53,cW1FSBF59ik,4,thats freaking epic,2.0,positive,positive,1.56,positive,positive
54,cW1FSBF59ik,5,and i like how it shows,1.2,positive,slightly positive,2.1,positive,positive
55,cW1FSBF59ik,6,its pretty sic,0.5,positive,slightly positive,0.99,positive,slightly positive
56,cW1FSBF59ik,7,i love the name wade,1.8,positive,positive,2.01,positive,positive
57,cW1FSBF59ik,8,but i do not take ryan reynolds seriously for shit in this movie,-2.4,negative,very negative,-0.59,negative,slightly negative
58,cW1FSBF59ik,9,i love him as an actor based on his looks as a actual talented actor no,-1.0,negative,slightly negative,2.35,positive,very positive
59,cW1FSBF59ik,10,laughing he certainly doesnt fit the bill either for any marvel movie um zero,-1.0,negative,slightly negative,-1.47,negative,negative
60,cW1FSBF59ik,11,after he busts all his caps in the air and rans and all the dead bodies fall around him fucking sick,2.2,positive,very positive,-1.61,negative,negative
61,cW1FSBF59ik,12,same with um wades uh sword scene where hes like sound effects its freaking epic,2.0,positive,positive,2.28,positive,very positive
62,cW1FSBF59ik,13,um lip smacking sigh hm marvel once again decided to toss another random bitch in this movie wolverines bitch,-1.2,negative,slightly negative,-0.79,negative,slightly negative
63,cW1FSBF59ik,14,the random bitch that nobody knows where the fuck she came from why marvel why do you insist on torturing me,-2.6,negative,very negative,-1.24,negative,slightly negative
64,cW1FSBF59ik,15,lip smacking anyway lip smacking i love sabre tooth in this movie,3.0,positive,very positive,1.76,positive,positive
65,cW1FSBF59ik,16,he was fucking epic,2.4,positive,very positive,2.26,positive,very positive
66,cW1FSBF59ik,17,lieb schriever or however the fuck you say his name is a fucking tremendously awesome actor,2.6,positive,very positive,2.07,positive,positive
67,cW1FSBF59ik,18,ive never seen him in anything else,0.2,positive,Neutral,0.19,positive,Neutral
68,cW1FSBF59ik,19,but in this oh my god i love you,2.5,positive,very positive,1.99,positive,positive
69,cW1FSBF59ik,20,and you probably did the best portrayal of sabre tooth ever,1.6,positive,positive,2.48,positive,very positive
70,cW1FSBF59ik,21,although i do agree that the look could have been changed to fit the actual sabre tooths like with the right hair,-1.0,negative,slightly negative,0.21,positive,Neutral
71,cW1FSBF59ik,22,um we i love the scene where sabre tooth throws wolverine into the truck that feel good jackoff um,1.4,positive,positive,2.06,positive,positive
72,cW1FSBF59ik,23,um fred dukes is the blob,0.0,negative,Neutral,0.06,positive,Neutral
73,cXypl4FnoZo,0,xxx seeing red riding hood for a really long time,1.0,positive,slightly positive,-0.65,negative,slightly negative
74,cXypl4FnoZo,1,and um ill just say overall if i think it was good,1.0,positive,slightly positive,1.57,positive,positive
75,cXypl4FnoZo,2,but um i liked it,1.8,positive,positive,1.79,positive,positive
76,cXypl4FnoZo,3,i thought it could be really bad um but it didnt look like it would be but it couldve been,-0.8,negative,slightly negative,-1.28,negative,slightly negative
77,cXypl4FnoZo,4,um i like did i thought catherine hardwicke did a good job,1.8,positive,positive,1.62,positive,positive
78,cXypl4FnoZo,5,and um i liked you know catherine hardwicke is like you know kind of ridiculous,-0.6,negative,slightly negative,-0.04,negative,Neutral
79,cXypl4FnoZo,6,and she was kind of wierd during twilight,-1.0,negative,slightly negative,-1.29,negative,negative
80,cXypl4FnoZo,7,but um i i like seeing um female directors because there arent that many compare to you know guy directors,1.4,positive,positive,0.67,positive,slightly positive
81,cXypl4FnoZo,8,so the more like women directors that i see you know i i i like seeing that,1.2,positive,slightly positive,1.51,positive,positive
82,cXypl4FnoZo,9,so um i thought she did great with this movie,2.0,positive,positive,2.37,positive,very positive
83,cXypl4FnoZo,10,um anyway i would say just you go and see it if you were thinking about seeing it but you werent sure if it would be worth seeing,1.4,positive,positive,-0.25,negative,Neutral
84,cXypl4FnoZo,11,um i say go see it coz i i enjoyed it now,2.0,positive,positive,2.13,positive,positive
85,cXypl4FnoZo,12,um i hm i dont like well i dont know if i wanna say i dont like this but i wish that it wouldve been different who the wolf actually turned out to be,-1.0,negative,slightly negative,-1.4,negative,negative
86,cXypl4FnoZo,13,um i just i wouldve like me and louis were saying we were thinking the whole time like who couldve be who couldve be,-0.6,negative,slightly negative,-1.1,negative,slightly negative
87,cXypl4FnoZo,14,um we had like we have guessed everybody um this like this random charecter dude who what does he do,0.0,negative,Neutral,-0.38,negative,Neutral
88,cXypl4FnoZo,15,i dont know how to like tell you who he is coz youre gonna be like that doesnt narrow it down at all,-0.6,negative,slightly negative,-1.58,negative,negative
89,cXypl4FnoZo,16,its just like this this character whos kind of random,-0.6,negative,slightly negative,-0.26,negative,Neutral
90,cXypl4FnoZo,17,and he i dont i think he maybe he got mad when hah i dont know,-0.25,negative,Neutral,-1.24,negative,slightly negative
91,cXypl4FnoZo,18,um but yeah whatever um he we thought it would be him because they werent showing him a lot but they showed him enough to they kind of be like oh it was him in the end,0.8,positive,slightly positive,-0.19,negative,Neutral
92,cXypl4FnoZo,19,um a i wish we wished that it wouldve been um the guy,-1.0,negative,slightly negative,-0.02,negative,Neutral
93,cXypl4FnoZo,20,um we wished it wouldve been peter because it wouldve made sense throat cleaning that um peter,-0.6,negative,slightly negative,-0.27,negative,Neutral
94,cXypl4FnoZo,21,like we wanted to be that she knew um amanda seyfrieds character knew it was peter but was pretending that she didnt so that she got a reason to run away with him and they could be together,0.2,positive,Neutral,-0.43,negative,slightly negative
95,cXypl4FnoZo,22,and it would make sense,0.4,positive,Neutral,-0.29,negative,Neutral
96,cXypl4FnoZo,23,and and we kind of wanted it to be like but exept not that obvoious but that wouldve been good right like coz that it would give tham a reason coz they wanted to get married but they couldnc because she was gonna marry the other guy,0.2,positive,Neutral,-0.51,negative,slightly negative
97,cXypl4FnoZo,24,and another thing the other guy she was supposed to marry was a hundred times better looking than peter,-1.2,negative,slightly negative,-0.2,negative,Neutral
98,cXypl4FnoZo,25,was nicer than peter,0.6,positive,slightly positive,0.88,positive,slightly positive
99,cXypl4FnoZo,26,i was saying if shes not gonna marry him i will,0.8,positive,slightly positive,-0.45,negative,slightly negative
100,cXypl4FnoZo,27,because i thought he was um peter was annoying,-2.2,negative,very negative,-1.22,negative,slightly negative
101,cXypl4FnoZo,28,i didnt like peter,-1.4,negative,negative,-1.62,negative,negative
102,d3_k5Xpfmik,0,woody harrlson who have named themselves after the places um to which they have traveled in which i think is a really nice xxx as,2.0,positive,positive,1.97,positive,positive
103,d3_k5Xpfmik,1,a basically um ocd like,0.0,negative,Neutral,-1.06,negative,slightly negative
104,d3_k5Xpfmik,2,the um cross of personality is really um charismatic and dynamic,2.0,positive,positive,2.27,positive,very positive
105,d3_k5Xpfmik,3,um it just goes to show that you really cant trust anyone in this situation,-1.0,negative,slightly negative,-1.2,negative,slightly negative
106,d3_k5Xpfmik,4,zombieland is a really sucessful horror comedy,2.2,positive,very positive,-1.5,negative,negative
107,d3_k5Xpfmik,5,as it contains um rea really well done and faithful homages to the zombie horror sub ganre and,1.6,positive,positive,2.24,positive,very positive
108,d3_k5Xpfmik,6,ganre and um while also maintains its kind of detached um satire of the genre,0.4,positive,Neutral,-0.31,negative,Neutral
109,d3_k5Xpfmik,7,but its really well done,2.2,positive,very positive,2.39,positive,very positive
110,d3_k5Xpfmik,8,because um you really wanna see it for yourself,1.4,positive,positive,0.81,positive,slightly positive
111,d3_k5Xpfmik,9,um its basically a um slow motion show case of different events,0.4,positive,Neutral,-0.03,negative,Neutral
112,d3_k5Xpfmik,10,this credit sequence i think is the best credit sequence um since watchman,2.4,positive,very positive,2.64,positive,very positive
113,d3_k5Xpfmik,11,and i honestly think if we hadnt have seen watchman this would be the best credit sequence of the year,2.0,positive,positive,2.2,positive,very positive
114,d3_k5Xpfmik,12,yeah it really is good i mean,2.2,positive,very positive,1.72,positive,positive
115,d3_k5Xpfmik,13,it uses um and this just doesnt apply to the um um credit se sequence on it own but appies to the movie as a whole it really knows how to use s slow motion without making it a gimmick,2.0,positive,positive,0.06,positive,Neutral
116,d3_k5Xpfmik,14,the sequences of the beginning of the film which features columbus exzplaining some of his rules um to surviving a zombie apocalipse are really well done,2.6,positive,very positive,2.47,positive,very positive
117,d3_k5Xpfmik,15,the xxx sequence is really well done,2.0,positive,positive,2.54,positive,very positive
118,d3_k5Xpfmik,16,but its a very kind of um stylistic edge on it,1.6,positive,positive,0.71,positive,slightly positive
119,d3_k5Xpfmik,17,it its almost like um imagining tarantino directed a zombie movie,0.8,positive,slightly positive,-0.2,negative,Neutral
120,d3_k5Xpfmik,18,and the style of the film like the um the free streams of slow motion the um the jump cooks and all that stuff feels very kind of um tarantino ask,0.2,positive,Neutral,1.36,positive,positive
121,d6hH302o4v8,0,this movie was horrible,-2.8,negative,very negative,-2.19,negative,very negative
122,d6hH302o4v8,1,nicholas cage should not do these kind of movies,-1.8,negative,negative,-1.11,negative,slightly negative
123,d6hH302o4v8,2,hes always in these kinds of movies all this sorcerer witch voodoo kind of movies,0.2,positive,Neutral,0.84,positive,slightly positive
124,d6hH302o4v8,3,and its getting really tiring,-1.6,negative,negative,-1.91,negative,negative
125,d6hH302o4v8,4,hes horrible at it,-1.33,negative,negative,-0.04,negative,Neutral
126,d6hH302o4v8,5,no one takes him seriously,-2.0,negative,negative,-0.61,negative,slightly negative
127,d6hH302o4v8,6,w w w when hes onscreen i want to punch him in the face,-2.8,negative,very negative,0.07,positive,Neutral
128,d6hH302o4v8,7,hes very boring,-2.2,negative,very negative,-0.85,negative,slightly negative
129,d6hH302o4v8,8,he wa he was very annoying,-2.4,negative,very negative,-1.42,negative,negative
130,d6hH302o4v8,9,he didnt know what he was talking about,-1.2,negative,slightly negative,-0.77,negative,slightly negative
131,d6hH302o4v8,10,and i was sitting in the theatre sleeping,-1.0,negative,slightly negative,-1.4,negative,negative
132,d6hH302o4v8,11,hellboy he was very good in hellboy but,1.4,positive,positive,1.77,positive,positive
133,d6hH302o4v8,12,in hellboy but in this movie he wasnt good at all,-2.0,negative,negative,-1.52,negative,negative
134,d6hH302o4v8,13,i i i didnt really care for his character at all,-1.8,negative,negative,-1.73,negative,negative
135,d6hH302o4v8,14,hes very boring as well,-1.75,negative,negative,-0.65,negative,slightly negative
136,d6hH302o4v8,15,whole movies very boring,-2.0,negative,negative,-1.95,negative,negative
137,d6hH302o4v8,16,it made no sense,-2.0,negative,negative,-1.47,negative,negative
138,d6hH302o4v8,17,i didnt really care about it at all,-2.0,negative,negative,-1.94,negative,negative
139,d6hH302o4v8,18,i had no idea why i even saw this movie,-2.8,negative,very negative,-1.52,negative,negative
140,d6hH302o4v8,19,uh the trailer looked like it could be a little g good,1.0,positive,slightly positive,0.57,positive,slightly positive
141,d6hH302o4v8,20,but when i saw it was just totally boring,-2.4,negative,very negative,-2.25,negative,very negative
142,d6hH302o4v8,21,but it wasnt really made well,-1.0,negative,slightly negative,-1.62,negative,negative
143,d6hH302o4v8,22,and this is the worst by far,-2.6,negative,very negative,-1.88,negative,negative
144,d6hH302o4v8,23,it was very very very boring,-2.8,negative,very negative,-2.03,negative,negative
145,d6hH302o4v8,24,made no sense,-1.6,negative,negative,-1.52,negative,negative
146,d6hH302o4v8,25,action scense were very dumb,-2.6,negative,very negative,-1.88,negative,negative
147,d6hH302o4v8,26,i hated it,-2.6,negative,very negative,-1.85,negative,negative
148,d6hH302o4v8,27,but the last half hour of the movie it felt like they had added like a cgi orgasm,-1.0,negative,slightly negative,-0.6,negative,slightly negative
149,d6hH302o4v8,28,you know they just tried uh with the cgi that they put t t t they they threw so much cgi at you,-1.8,negative,negative,-1.01,negative,slightly negative
150,d6hH302o4v8,29,and it was awful,-2.8,negative,very negative,-2.09,negative,negative
151,d6hH302o4v8,30,like it was like spewing cgi last half hour of the movie,-1.4,negative,negative,-1.46,negative,negative
152,d6hH302o4v8,31,like every single scene was cgi it,-0.6,negative,slightly negative,0.01,positive,Neutral
153,d6hH302o4v8,32,cgi it was terrible,-3.0,negative,very negative,-2.21,negative,very negative
154,d6hH302o4v8,33,i hated it,-3.0,negative,very negative,-1.85,negative,negative
155,d6hH302o4v8,34,i was sitting there in the theatre laughing how bad the movie was at some points,-1.6,negative,negative,-1.25,negative,slightly negative
156,d6hH302o4v8,35,uh huh how about the acting and the action was was just so dull,-2.2,negative,very negative,-2.22,negative,very negative
157,d6hH302o4v8,36,and boring,-2.2,negative,very negative,-1.99,negative,negative
158,d6hH302o4v8,37,do not see this movie,-3.0,negative,very negative,-1.23,negative,slightly negative
159,d6hH302o4v8,38,season of the witch was horrible acting,-3.0,negative,very negative,-2.12,negative,negative
160,d6hH302o4v8,39,dull,-1.0,negative,slightly negative,-1.58,negative,negative
161,d6hH302o4v8,40,just dont see this movie,-2.4,negative,very negative,-2.22,negative,very negative
162,d6hH302o4v8,41,i dont know why i even saw it,-1.4,negative,negative,-1.55,negative,negative
163,d6hH302o4v8,42,so season of the witch is rated 3 out of 10 so,-2.5,negative,very negative,1.06,positive,slightly positive
164,dq3Nf_lMPnE,0,changes and growth of the characters its usaulaly a path of discovery,0.0,negative,Neutral,1.02,positive,slightly positive
165,dq3Nf_lMPnE,1,the last minute title that they threw on at the theaters,-1.4,negative,negative,0.1,positive,Neutral
166,dq3Nf_lMPnE,2,dreamworks is confusing me,-1.2,negative,slightly negative,-1.84,negative,negative
167,dq3Nf_lMPnE,3,they solved this dilemma by removing the past within its a wonderful life twist courtecy of new betty rumpelstiltskin everything,-0.4,negative,Neutral,1.72,positive,positive
168,dq3Nf_lMPnE,4,rumpelstiltskin everything that happened in shrek 1 2 and 3 are wiped away,1.2,positive,slightly positive,0.05,positive,Neutral
169,dq3Nf_lMPnE,5,not a bad idea for a sequel,0.8,positive,slightly positive,-0.46,negative,slightly negative
170,dq3Nf_lMPnE,6,but also not very original,-2.0,negative,negative,-1.74,negative,negative
171,dq3Nf_lMPnE,7,shrek 4 misses out on the magic that made the first film a real joy to view,0.6,positive,slightly positive,0.32,positive,Neutral
172,dq3Nf_lMPnE,8,gone are the wickedly satirical stand ups of the world of fairy tales,-0.8,negative,slightly negative,-1.21,negative,slightly negative
173,dq3Nf_lMPnE,9,and also the cute wings to pop culture,1.0,positive,slightly positive,1.5,positive,positive
174,dq3Nf_lMPnE,10,and their place is a run of the mill animated action adventure plot with a few chuckles trown in,-0.6,negative,slightly negative,-0.17,negative,Neutral
175,dq3Nf_lMPnE,11,it seems like the writers and creators took the easy way out,-1.6,negative,negative,0.3,positive,Neutral
176,dq3Nf_lMPnE,12,if award for the great characters of shrek in his supporting cast they are still voiced by the original stars mike myers eddie murphy cameron diaz and antonio banderas the film would be a real bust,-1.2,negative,slightly negative,1.39,positive,positive
177,dq3Nf_lMPnE,13,unless your kids are dying to see it id wait for the dvd i,-1.8,negative,negative,1.76,positive,positive
178,dq3Nf_lMPnE,14,dvd i give shrek forever after directed by mike mitchell a grade of b minus,1.0,positive,slightly positive,1.9,positive,positive
179,etzxEpPuc6I,0,um so channing tatum and marlon are transporting it they get ambushed by um i think its cobra its kinda hard to explain it cuz,0.4,positive,Neutral,-0.88,negative,slightly negative
180,etzxEpPuc6I,1,like the dude that made the technologies i i cant ruin the movie,1.2,positive,slightly positive,0.13,positive,Neutral
181,etzxEpPuc6I,2,um from there it just goes into ridiculousness the,-1.6,negative,negative,-1.9,negative,negative
182,etzxEpPuc6I,3,into ridiculousness the thing about this movie is like i i i wanna compare it to transformers 2 and i actually did,0.8,positive,slightly positive,0.87,positive,slightly positive
183,etzxEpPuc6I,4,i was like you know theyre both hasbro toys theyre both moves that are com made for children,0.0,negative,Neutral,0.29,positive,Neutral
184,etzxEpPuc6I,5,but they have a lot of adult situations in it,0.4,positive,Neutral,0.22,positive,Neutral
185,etzxEpPuc6I,6,but the thing about gi joe compared to transformers is transfomers 2 didnt know what it wanted to do,-1.2,negative,slightly negative,-0.72,negative,slightly negative
186,etzxEpPuc6I,7,like in some parts you had people getting killed and the next part you had fart jokes and stupid frat humor and all that other crap,-1.0,negative,slightly negative,-0.86,negative,slightly negative
187,etzxEpPuc6I,8,as for gi joe was it was just like laughing its the the plot the the acting is terrible,-2.8,negative,very negative,-2.12,negative,negative
188,etzxEpPuc6I,9,the plot is ridiculous but no one took it seriously,-1.4,negative,negative,-0.4,negative,Neutral
189,etzxEpPuc6I,10,like like even the actors were just like you know its a movie about a fucking toy,-1.6,negative,negative,-1.19,negative,slightly negative
190,etzxEpPuc6I,11,laughing so theyre just sitting there,0.67,positive,slightly positive,-1.46,negative,negative
191,etzxEpPuc6I,12,like this one part where the girls like my daddy taught me to win win and then shes looking in the camera and im like wow like um this actings pretty bad,-2.2,negative,very negative,-1.12,negative,slightly negative
192,etzxEpPuc6I,13,but the they they knew it was just a movie about a a a a doll so they didnt take it seriously,-1.2,negative,slightly negative,-1.21,negative,slightly negative
193,etzxEpPuc6I,14,like knowing is half the battle,0.2,positive,Neutral,-0.96,negative,slightly negative
194,etzxEpPuc6I,15,but the movie was well it was ridiculously terrible,-2.4,negative,very negative,-2.15,negative,very negative
195,etzxEpPuc6I,16,like it was like the acting was terrible the action made up for it,-0.4,negative,Neutral,-1.48,negative,negative
196,etzxEpPuc6I,17,there was parts this ive seen some creative depths in this movie ive never seen before,1.4,positive,positive,1.65,positive,positive
197,etzxEpPuc6I,18,ive seen people get shot in the eye you know and that would be it but people getting shot in the eye and then the they heads explode and then some dude get his torso cut open and and some dudes hanging out of the car his head got blown off and freaking people are flying and jumping,-0.5,negative,slightly negative,-1.12,negative,slightly negative
198,f9O3YtZ2VfI,0,what whatever the name is too long,-1.2,negative,slightly negative,-1.27,negative,slightly negative
199,f9O3YtZ2VfI,1,its a very interesting idea,1.25,positive,slightly positive,1.46,positive,positive
200,f9O3YtZ2VfI,2,and its they looked like it had a good core,0.6,positive,slightly positive,0.12,positive,Neutral
201,f9O3YtZ2VfI,3,but hm it just too many problems with it,-2.4,negative,very negative,-1.88,negative,negative
202,f9O3YtZ2VfI,4,the first problem is that its all told in flashback from a point just before katrina hits new orleans,-1.8,negative,negative,-0.97,negative,slightly negative
203,f9O3YtZ2VfI,5,i didnt need any of that crap,-2.6,negative,very negative,-1.44,negative,negative
204,f9O3YtZ2VfI,6,i dont need it all told in flashback,-1.2,negative,slightly negative,-0.73,negative,slightly negative
205,f9O3YtZ2VfI,7,i dont need the added element of katrina,-1.8,negative,negative,-0.75,negative,slightly negative
206,f9O3YtZ2VfI,8,it dosent it just its too much crap in here,-2.2,negative,very negative,-2.02,negative,negative
207,f9O3YtZ2VfI,9,the the movies is too long,-2.0,negative,negative,-1.51,negative,negative
208,f9O3YtZ2VfI,10,they just need to cut that out,-0.8,negative,slightly negative,-1.72,negative,negative
209,f9O3YtZ2VfI,11,another thing is we dont need his entire life,-1.8,negative,negative,-0.79,negative,slightly negative
210,f9O3YtZ2VfI,12,th we do not need the entire span birth to death,-1.6,negative,negative,0.41,positive,Neutral
211,f9O3YtZ2VfI,13,just give me a nice interesting choke,1.2,positive,slightly positive,0.08,positive,Neutral
212,f9O3YtZ2VfI,14,and scale it down on like two hours,-1.2,negative,slightly negative,-0.93,negative,slightly negative
213,f9O3YtZ2VfI,15,this also falls in to the trandy is very popular these days if you do a whole all of cgi um,-1.0,negative,slightly negative,1.91,positive,positive
214,f9O3YtZ2VfI,16,of cgi um and if youre gonna do mostly cgi just make an animated movie,-2.0,negative,negative,0.64,positive,slightly positive
215,f9O3YtZ2VfI,17,this looks like it just has a polyurethane coating on it,-1.0,negative,slightly negative,-1.3,negative,negative
216,f9O3YtZ2VfI,18,makes him look too too good,-0.6,negative,slightly negative,-1.56,negative,negative
217,f9O3YtZ2VfI,19,but dont get me wrong its not all bad,-0.4,negative,Neutral,0.06,positive,Neutral
218,f9O3YtZ2VfI,20,its got my two favorite acresses in it tilda swinton and cate blanchett,2.0,positive,positive,1.98,positive,positive
219,f9O3YtZ2VfI,21,like i said before is a very interesting idea,1.4,positive,positive,0.63,positive,slightly positive
220,f9O3YtZ2VfI,22,and they did a lot of good things with it,1.6,positive,positive,1.89,positive,positive
221,f9O3YtZ2VfI,23,but its its like someone made you a kick ass sandwich but they put mayonnaise on it and you dont like mayonnaise and its not like tomato or lettuce where you can pick it off no its got it mayonnaise in its all over everything and now youre stuck with this kick ass sandwich that would be kick ass if it didnt have mayonnaise on it but it has mayonnaise on it or you go make another sandwich go make another sandwich,-2.6,negative,very negative,-0.71,negative,slightly negative
222,f9O3YtZ2VfI,24,this movie is just not quite good enough,-1.4,negative,negative,-2.39,negative,very negative
223,f9O3YtZ2VfI,25,i really liked david finch,1.4,positive,positive,1.67,positive,positive
224,f9O3YtZ2VfI,26,i liked all the um i like the cast,1.6,positive,positive,1.69,positive,positive
225,f9O3YtZ2VfI,27,but and its a good story,1.2,positive,slightly positive,1.8,positive,positive
226,f9O3YtZ2VfI,28,but clap huh its a pass,-2.0,negative,negative,1.11,positive,slightly positive
227,f9O3YtZ2VfI,29,my neighbor probably thinks im crazy yelling about movies to a camera,-1.0,negative,slightly negative,-1.13,negative,slightly negative
228,f_pcplsH_V0,0,so you better appreciate this review,0.25,positive,Neutral,1.6,positive,positive
229,f_pcplsH_V0,1,but to any of you who are i expect a thumbs up,1.4,positive,positive,0.87,positive,slightly positive
230,f_pcplsH_V0,2,theyre back to you having two killers thankfully,0.8,positive,slightly positive,-0.81,negative,slightly negative
231,f_pcplsH_V0,3,because it does make a lot more sense having the killer be able to be everywhere if theres two of them,0.5,positive,slightly positive,0.12,positive,Neutral
232,f_pcplsH_V0,4,hmph my overall opinion of the results of this process are its better than scream 3 and,1.2,positive,slightly positive,0.93,positive,slightly positive
